numer_klienta|typ|nazwa1|nazwa2|data
1752239||nan|nan|
1508236||nan|nan|
1407158||nan|nan|
1306266||nan|nan|
1240597||nan|nan|
1845829||nan|nan|
1668790||nan|nan|
1946283||nan|nan|
1169990||nan|nan|
1721855||nan|nan|
1224553||nan|nan|
1639298||nan|nan|
1528884||nan|nan|
1139059||nan|nan|
1602083||nan|nan|
1175872||nan|nan|
1333016||nan|nan|
1647093||nan|nan|
1536219||nan|nan|
1208164||nan|nan|
1620779||nan|nan|
1439210||nan|nan|
2006712||nan|nan|
1796387||nan|nan|
1129962||nan|nan|
1326356||nan|nan|
1648153||nan|nan|
1692960||nan|nan|
1174933||nan|nan|
1934875||nan|nan|
1695340||nan|nan|
1620803||nan|nan|
1165658||nan|nan|
1298151||nan|nan|
1098688||nan|nan|
1018975||nan|nan|
1805067||nan|nan|
1706524||nan|nan|
1585570||nan|nan|
1208043||nan|nan|
1918661||nan|nan|
1729227||nan|nan|
1445183||nan|nan|
1096604||nan|nan|
1695623||nan|nan|
1382466||nan|nan|
1950219||nan|nan|
1827223||nan|nan|
1246500||nan|nan|
1614714||nan|nan|
1695269||nan|nan|
1253797||nan|nan|
1815803||nan|nan|
2007033||nan|nan|
1610672||nan|nan|
1259173||nan|nan|
1313779||nan|nan|
1514642||nan|nan|
1790906||nan|nan|
1283356||nan|nan|
1377273||nan|nan|
1828564||nan|nan|
1660400||nan|nan|
1511917||nan|nan|
2006960||nan|nan|
1177333||nan|nan|
1518916||nan|nan|
1048026||nan|nan|
1744239||nan|nan|
2014255||nan|nan|
1117678||nan|nan|
1549768||nan|nan|
1894101||nan|nan|
1949224||nan|nan|
1384798||nan|nan|
1035055||nan|nan|
1886912||nan|nan|
1725318||nan|nan|
1238297||nan|nan|
1111584||nan|nan|
1181202||nan|nan|
1540534||nan|nan|
1473290||nan|nan|
1436810||nan|nan|
1965165||nan|nan|
1199780||nan|nan|
1419115||nan|nan|
1750419||nan|nan|
1213220||nan|nan|
1349629||nan|nan|
1639902||nan|nan|
1289549||nan|nan|
1127037||nan|nan|
1284108||nan|nan|
1334849||nan|nan|
1664047||nan|nan|
1999203||nan|nan|
1717488||nan|nan|
1643481||nan|nan|
1825148||nan|nan|
1244060||nan|nan|
1471495||nan|nan|
1351664||nan|nan|
1733462||nan|nan|
1032193||nan|nan|
1837005||nan|nan|
1430681||nan|nan|
1716242||nan|nan|
1851120||nan|nan|
1177651||nan|nan|
1235500||nan|nan|
1223590||nan|nan|
1412405||nan|nan|
1377552||nan|nan|
1547615||nan|nan|
1097125||nan|nan|
1303074||nan|nan|
1653218||nan|nan|
1459221||nan|nan|
1859100||nan|nan|
1041101||nan|nan|
1730306||nan|nan|
1248536||nan|nan|
1791262||nan|nan|
1223548||nan|nan|
1292512||nan|nan|
1942836||nan|nan|
1478710||nan|nan|
1077507||nan|nan|
1138136||nan|nan|
1545806||nan|nan|
1618929||nan|nan|
1993567||nan|nan|
1580251||nan|nan|
1669808||nan|nan|
1437783||nan|nan|
1853273||nan|nan|
1039916||nan|nan|
1280467||nan|nan|
